nome;mae;pai;data_nasc;titulo;zona;secao;municipio;uf;data_insc;votou
Lucas Bradley;Diana Rasmussen;Hayes Donovan;01/12/2004;1669120263399;113;6724;Feira de Santana;BA;22/04/2019;1
Rhona Robles;Galena West;Wesley Reynolds;24/09/1920;1617092601899;461;7805;Ilhéus;BA;25/02/2018;1
Calista Rice;Gail Hester;Emery Jefferson;26/01/1998;1680010743499;363;8847;Itabuna;BA;31/03/2018;1
Kieran Wheeler;Autumn Higgins;Jason Webster;11/02/1995;1647010999099;319;5523;Camaçari;BA;03/01/2020;1
Wylie Larson;Felicia Kelly;Finn Diaz;08/02/1984;1650012903699;613;7233;Juazeiro;BA;23/12/2019;1
Stone Bowman;Kylie Boyer;James Buckner;07/07/1955;1680102445499;440;6593;Itabuna;BA;26/05/2019;1
Cassandra Ingram;Ella Cooley;Callum Gomez;18/07/1929;1622082262599;831;6212;Ilhéus;BA;15/10/2018;1
Hop Thompson;Cheryl Robertson;Peter Williamson;23/11/1985;1653040955899;883;6097;Ilhéus;BA;21/08/2018;0
Quin Gillespie;Imani Mays;Jonah Moon;03/10/1992;1656102770799;266;3165;Lauro de Freitas;BA;02/06/2019;0
Lucas Juarez;Molly Franklin;Cooper Shaw;04/01/1911;1669051298399;915;6871;Vitória da Conquista;BA;01/08/2018;1
Katell Estes;Imelda Trujillo;Giacomo Valdez;23/07/1974;1691121773399;684;7096;Salvador;BA;16/04/2018;0
Mariam Knowles;Haley Bradford;Judah Avila;18/11/1957;1600083017399;528;4044;Camaçari;BA;06/04/2019;1
Venus Stokes;Jasmine Knox;Kevin Bruce;06/06/1952;1647010347199;133;7505;Salvador;BA;02/10/2019;1
Claire Davidson;Simone Stevens;Anthony Rogers;17/11/1914;1620090462199;272;8146;Itabuna;BA;18/12/2019;0
Amela Leon;Idona Mcintosh;Cole Leach;21/01/1951;1653082173499;226;7217;Salvador;BA;23/02/2018;1
Simone Todd;Jemima Pittman;Ira Shaw;04/10/1931;1675081097499;936;4957;Vitória da Conquista;BA;05/12/2018;1
Herman Joyner;Mallory Mcleod;Jakeem Bell;27/10/2001;1674110665099;167;4222;Camaçari;BA;22/08/2018;1
Burke Albert;Aurelia Ross;Colton Hicks;01/03/2016;1694081693999;588;5874;Vitória da Conquista;BA;26/12/2018;0
Bethany Dillon;September Shields;Maxwell Mueller;24/03/1924;1636071016199;475;7324;Vitória da Conquista;BA;13/12/2018;0
Brent Lamb;Azalia Jones;Tobias Mooney;31/03/1923;1676092835899;177;5173;Juazeiro;BA;13/09/2018;0
Kameko Knight;Jayme Nixon;Preston Jacobs;31/03/2006;1602011629399;663;2112;Itabuna;BA;06/12/2018;0
Bert Barnett;Tanisha Dunn;Hiram Snyder;20/07/1958;1657040289099;279;2725;Feira de Santana;BA;23/12/2019;1
Amos Neal;Daphne Fleming;Luke Dyer;10/06/1948;1641070244899;188;7188;Juazeiro;BA;18/04/2018;1
Nigel Harvey;Halla Alston;Ciaran Kelly;13/10/1965;1613012896299;808;3343;Ilhéus;BA;01/11/2018;1
Len Donovan;Kay Banks;Galvin Moss;13/11/2003;1636110774299;696;7478;Salvador;BA;19/08/2018;1
Dolan Blackburn;Ashely Ware;Donovan Hunt;04/10/1971;1651042448399;601;3678;Camaçari;BA;17/11/2018;0
Tucker Farrell;Lisandra Horton;Lucius Montgomery;07/02/2018;1640042412699;659;4507;Vitória da Conquista;BA;06/05/2018;0
Hermione Golden;Jada Reyes;Akeem Brady;16/01/1953;1684122934999;457;9463;Lauro de Freitas;BA;06/01/2019;1
William Bradshaw;Hilary Livingston;Rooney Newton;09/11/1938;1666021458999;959;8024;Camaçari;BA;11/10/2018;1
Lawrence Aguilar;Serina Bates;Beck Maldonado;18/10/1923;1601061339499;239;3446;Camaçari;BA;26/01/2018;1
Maxwell Cole;Rebekah Montoya;Nicholas Ruiz;28/10/1933;1638120583899;868;4733;Lauro de Freitas;BA;02/11/2018;0
Angela Vasquez;Jeanette Nelson;Graham Frank;26/08/1973;1699112202999;578;7351;Vitória da Conquista;BA;24/03/2019;0
Oren Dunlap;Nayda Rhodes;Mannix Ewing;14/03/1940;1632022407799;268;5304;Ilhéus;BA;23/10/2019;0
Curran Kane;Blythe Navarro;Malcolm Bonner;06/08/1971;1695112742599;616;2732;Juazeiro;BA;22/09/2018;1
Micah Velez;Jemima Carson;Vance Ballard;19/10/1923;1619040430799;644;6615;Itabuna;BA;23/10/2018;0
Hashim Harrell;Stella Kaufman;Ryder Solomon;15/02/2017;1690081262499;656;4113;Feira de Santana;BA;31/10/2019;0
Paula Reynolds;Kylynn Bass;Ishmael Erickson;24/11/1959;1694031245499;290;7454;Caucaia;CE;12/09/2019;1
Ali Mccall;Mari Spears;Kevin Wheeler;27/01/1941;1695052997599;702;8075;Fortaleza;CE;11/10/2018;0
Bernard Hicks;Camille Frost;Kelly Fuentes;11/10/1946;1636072909599;576;6857;Itapipoca;CE;15/10/2019;1
Jermaine Vaughn;Quynn Richard;Porter Salinas;21/04/1934;1677090846999;258;6800;Caucaia;CE;23/06/2018;1
Brittany Livingston;Martina Harrington;Jelani Simpson;24/09/1947;1655020789399;205;2847;Itapipoca;CE;20/08/2019;0
Ora Lee;Pascale Haynes;Talon Carney;23/01/1956;1675092413099;442;3824;Maracanaú;CE;27/11/2019;1
Garrett Rose;Wanda Washington;Brian Porter;29/04/1927;1640051159799;939;6130;Itapipoca;CE;31/05/2019;0
Danielle Rios;Jeanette Cunningham;William Juarez;13/02/1978;1693020387299;895;8188;Fortaleza;CE;27/04/2019;0
Diana Rich;Lysandra Heath;Dalton Walls;12/10/2018;1680082557599;121;7947;Itapipoca;CE;26/07/2018;1
Juliet Burnett;Stacey Mcneil;Hammett Taylor;01/07/2010;1641081653099;584;3939;Crato;CE;28/08/2019;0
Hedley Hodges;Daria Montoya;Holmes Henry;30/03/1942;1673111311399;561;7370;Fortaleza;CE;06/12/2018;0
Duncan Dudley;Jael Aguirre;Ferris Waters;24/04/1910;1609061531899;475;9912;Caucaia;CE;04/02/2018;1
Chase Deleon;Yetta Maxwell;Elliott West;26/04/1959;1680040218699;913;5891;Fortaleza;CE;30/01/2019;0
Justina Ford;Geraldine Erickson;Stewart Wise;30/08/2009;1610110550399;375;2343;Maranguape;CE;21/12/2018;0
Libby Camacho;Dacey Mcclain;Richard Berry;08/09/1930;1668042610499;464;9899;Maranguape;CE;17/02/2018;1
Garth Zimmerman;Charlotte Kerr;Nero Sykes;15/07/1924;1639010915499;897;2944;Maracanaú;CE;11/12/2018;1
Eric George;Deborah Valenzuela;Keaton Cohen;06/04/1951;1662080260599;252;6318;Juazeiro do Norte;CE;22/12/2019;0
Baxter Howe;Kellie Sanchez;Ignatius Rhodes;18/09/1918;1688071741199;502;7101;Itapipoca;CE;28/11/2019;0
Amity Hardin;Sloane Fuentes;Abdul Soto;15/08/1960;1692101008399;387;9728;Juazeiro do Norte;CE;26/08/2018;1
Nichole Stark;Latifah Hinton;Dane Robbins;25/07/1942;1600121308699;999;9356;Sobral;CE;14/01/2018;1
Christine Maynard;Savannah Hicks;Barrett Norris;06/04/1948;1616012686699;231;3410;Crato;CE;09/08/2018;1
Ezekiel Solomon;Quynn Dennis;Gage Graham;05/04/1932;1635122342499;170;7053;Crato;CE;09/02/2018;1
Nola Anthony;Linda Owens;Plato Bennett;18/09/1967;1659022437399;787;9497;Juazeiro do Norte;CE;16/08/2019;0
Eden Buckner;Odette Dunn;Orlando Morse;26/11/1972;1626062600799;443;2935;Maranguape;CE;07/09/2018;1
Jolie Ellison;Charde Fletcher;Robert Hansen;27/05/1952;1608121298299;632;4185;Crato;CE;23/08/2019;0
Kellie Bush;Basia Dillard;Lance Morin;02/05/1944;1672012647699;761;3084;Maracanaú;CE;17/07/2019;0
Rogan Reeves;Zenaida Salazar;Graiden Kelley;05/11/1926;1603100651699;949;6647;Anápolis;GO;07/09/2019;1
Declan Nixon;Erica Duke;Cooper Alvarado;25/04/1945;1607052823699;406;8817;Águas Lindas de Goiás;GO;27/07/2018;1
Oliver Fry;Amanda Powers;Yasir Vazquez;08/11/1915;1640090149399;248;9327;Goiânia;GO;25/08/2018;1
Miriam Medina;Haviva Ratliff;Jeremy Barry;14/02/1967;1669051990199;813;9851;Goiânia;GO;30/07/2018;0
Heather Ray;Dawn Clemons;Richard Downs;04/05/1933;1694102607399;194;7054;Rio Verde;GO;09/05/2018;1
Wesley Gibson;Hayfa Fitzgerald;Scott Sanders;31/12/1978;1661060651199;393;7980;Valparaíso de Goiás;GO;08/10/2019;0
Aurelia Levine;Rina Bruce;Conan Bullock;15/10/1976;1644062365499;235;8130;Aparecida de Goiânia;GO;17/03/2019;1
Derek Mcmahon;Winter Collins;Darius Owens;17/10/1919;1671061511499;104;4761;Goiânia;GO;16/10/2018;0
Lane Lindsey;Zoe Brennan;Daniel Boyle;02/03/1911;1683020217899;812;2857;Goiânia;GO;07/12/2018;0
Benedict Hill;Ivana Mcdowell;Mark Jimenez;24/10/1959;1619051024599;539;9958;Luziânia;GO;30/08/2018;0
Megan Newton;Kimberley Kim;Bradley Vaughan;30/03/2018;1621030537499;244;7143;Luziânia;GO;04/01/2019;0
Colton Hood;Maia Freeman;Chadwick Stevens;23/04/1949;1674112883199;920;6458;Goiânia;GO;12/08/2018;1
Declan Kennedy;Kaitlin Caldwell;Colin Garner;13/10/1911;1640052695599;840;5391;Anápolis;GO;28/08/2018;1
Tyler Jacobson;Amethyst Sparks;Baxter Castro;21/08/1937;1672102712799;329;8342;Chapadinha;MA;03/02/2019;1
Colette Kidd;Haviva Norris;Dominic Stevenson;17/05/1923;1605101108299;396;7409;Balsas;MA;07/08/2018;0
Hadassah Morales;Jayme Horton;Burke Beasley;11/03/2014;1628091191499;901;6903;Açailândia;MA;08/12/2018;0
Ferdinand Sandoval;Ruth Mcgee;Thaddeus Castaneda;10/03/1930;1623040553499;255;4606;Açailândia;MA;18/10/2019;0
Rogan Hobbs;Cassandra Justice;Octavius Bentley;28/08/2014;1615122074499;725;7198;Codó;MA;09/12/2018;1
